Station,Year,Latitude_DD,Longitude_DD,turbidity_mean,turbidity_sd
AlongBay_5,2016,59.563,-151.46,0.7867513684210526,0.5818900987093453
AlongBay_5,2017,59.563,-151.46,0.7410866939611054,0.4312578878752303
AlongBay_7,2016,59.592,-151.35,0.9034735655737705,0.5104622357282803
AlongBay_7,2017,59.592,-151.35,1.1899776454099509,0.6327775297287787
AlongBay_8,2016,59.613,-151.295,1.1135890829694324,0.49354606373612026
AlongBay_8,2017,59.613,-151.295,1.1003391891891892,0.3826209577354519
AlongBay_9,2016,59.632,-151.25,1.0584655813953487,0.4241980935225213
AlongBay_9,2017,59.632,-151.25,0.9589565934065934,0.30388411891227457
AlongBay_POGI,2016,59.445,-152,0.40826805555555556,0.14949901297558096
AlongBay_POGI,2017,59.445,-152,0.4299994285714286,0.5622533601292954
AlongBay_PTGR,2016,59.383,-152.05,0.3863982456140351,0.08900583546525007
AlongBay_PTGR,2017,59.383,-152.05,0.3477075630252101,0.3979280597105811
