Station,year,Latitude_DD_mean,Latitude_DD_sd,Longitude_DD_mean,Longitude_DD_sd,temperature_no_mean,temperature_no_sd,salinity_no_mean,salinity_no_sd,turbidity_no_mean,turbidity_no_sd
AlongBay_POGI,2016,59.445,0,-152,0,7.25228,0.09169058951238233,31.37936,0.31155564329954727,0.36972307692307693,0.047375679201010774
AlongBay_POGI,2017,59.445,0,-152,0,9.21514625,0.2125041449744666,31.2616525,0.40095470402180755,0.3794392405063291,0.10344798943123298
AlongBay_1,2016,59.5,0,-151.888,0,8.59111875,1.4120597301611293,31.44472375,0.14740823212138404,0.311255,0.07120292075505494
AlongBay_1,2017,59.5,0,-151.888,0,7.284179285714286,2.661907013138226,31.41558,0.6240445694725434,0.45539999999999997,0.21915839054073272
AlongBay_2,2016,59.518,0,-151.728,0,10.09943,0.31597360908947075,31.282966666666667,0.2358925773952529,0.3920175,0.11632781021530139
AlongBay_2,2017,59.518,0,-151.728,0,7.546781875,2.6848585866538226,31.281676489028214,0.674995877214681,0.4545059748427673,0.1722645628595315
AlongBay_3,2016,59.525,0,-151.65,0,9.8301,0.9996982635914938,31.24810512820513,0.2925567330472537,0.46620379746835444,0.17274109976927007
AlongBay_3,2017,59.525,0,-151.65,0,7.7022916071428575,2.2906200730953916,31.3809475,0.571336659721309,0.4406553153153153,0.144488952720125
AlongBay_4,2016,59.552,0,-151.53,0,7.90048,1.6891760201754222,31.241183248730966,0.21625999369052173,0.4860299492385787,0.14932981428770845
AlongBay_4,2017,59.552,0,-151.53,0,7.69429625,2.3849893062927587,31.327595487364622,0.5193366498822157,0.5521147747747748,0.21611802439230415
AlongBay_5,2016,59.563,0,-151.46,0,8.413941666666666,1.946483225414678,31.085851327433627,0.3899798880150845,0.6724439252336448,0.23146024931861597
AlongBay_5,2017,59.563,0,-151.46,0,7.506363846153846,2.4130806385153134,31.24687869822485,0.5962864962686093,0.6275583497053046,0.2627971397250451
9_6,2016,59.5824,0,-151.385,0,8.378195,1.9152530761466162,31.07027181818182,0.3861271322065074,0.7028582608695653,0.2701738075993644
9_6,2017,59.5824,0,-151.385,0,7.229828846153846,2.725010037041955,31.10315,0.5872148147461154,0.8547274193548388,0.20131804591316824
AlongBay_7,2016,59.592,0,-151.35,0,7.933509433962264,1.804728712555739,31.11345167785235,0.4311966693391692,0.6599209150326797,0.268542912295026
AlongBay_7,2017,59.592,0,-151.35,0,7.346485454545455,2.752177251919623,31.135505555555554,0.6140219587314546,0.903861252900232,0.19970057564708077
AlongBay_8,2016,59.613,0,-151.295,0,8.112440833333332,1.9220359606065767,31.05122181818182,0.3386259462093906,0.824051376146789,0.21280980450065548
AlongBay_8,2017,59.613,0,-151.295,0,7.804400751879699,2.6834116049316483,31.09124958677686,0.6144603903355083,0.916860411311054,0.22221265849101582
AlongBay_9,2016,59.632,0,-151.25,0,8.37996,1.6226470262604658,31.02075272727273,0.277921321685724,0.9529709401709402,0.32267244522404925
AlongBay_9,2017,59.632,0,-151.25,0,8.080535555555555,2.4900066280549034,31.02971394658754,0.6220473119840487,0.8383979885057471,0.19808927781284594
AlongBay_10,2016,59.6583,0,-151.2083,0,8.34445,2.121937653329,31.075617647058824,0.10205421752925241,1.0337612903225806,0.11512045482137205
AlongBay_10,2017,59.6583,0,-151.2083,0,8.1051146875,2.6517209149506544,30.996234782608695,0.6258933821611234,0.8146256578947368,0.21043388635773125
AlongBay_11,2017,59.687,0,-151.165,0,9.266573221757323,1.6758065135810234,30.851096788990827,0.572797339796652,0.8723318181818182,0.28002686463811566
AlongBay_12,2016,59.712,0,-151.116,0,9.405753846153846,2.77651440640682,30.797531578947368,0.3211183669833213,1.2572555555555556,0.1468999428271311
AlongBay_12,2017,59.712,0,-151.116,0,9.910426,0.8750666297812891,30.822285082872927,0.5230363696177445,0.8192528795811518,0.2512397254868684
AlongBay_13,2017,59.742,0,-151.057,0,9.852692063492064,0.9546837012207279,30.705211403508773,0.5317365522693092,1.0607895652173913,0.2148176078141694
